原文	訳語	備考
Git directory	Git ディレクトリ	
HEAD	HEAD	最新コミットのスナップショット
branch	ブランチ	
browser	ブラウザー	
change	変更	
chapter	章	
comitted	コミット済	
commit	コミット	
commit history	コミット履歴	historyと区別すること
community	コミュニティ	
computer	コンピューター	
data	データ	
database	データベース	
designer	デザイナー	
diff	差分	ツール・コマンドのことを指す場合は原文のまま
directory	ディレクトリ	
history	歴史	commit historyと区別すること
index	インデックス	次のコミット候補のスナップショット
installer	インストーラー	
interface	インターフェイス	
member	メンバー	
merge	マージ	
modified	修正済	
modify	修正	
non-linear development	ノンリニア開発	
nonlinear	ノンリニア	
programmer	プログラマ	
repository	リポジトリ	
sandbox	サンドボックス
server	サーバー	
stage	ステージする	
staged	ステージ済	
staging area	ステージング・エリア	
stash	stash	原文のまま
store	格納	
submodule	サブモジュール	
two factor authentication	二要素認証	
unified diff	unified 形式の差分	
upstream	上流	
user	ユーザー	
workflow	ワークフロー	
working directory	作業ディレクトリ	
